id,"IFNULL(message, description)",aspecto,polaridade
5479,"UMA PESSOA TEVE QUE SAIR DE CASA DEVIDO A CHEIA DA LAGOA DOS PATOS EM RIO GRANDE :

A Defesa Civil do Rio Grande e Secretarias Municipais realizaram uma reunião de emergência na noite deste domingo (11) na Prefeitura a fim de organizar uma frente de trabalho para agir no auxílio à população atingida pela cheia da Laguna dos Patos. No início da noite de ontem o nível da Laguna atingiu 1,20 m de altura e a água alcançou ruas e residências na cidade.

A força-tarefa foi dividida em grupos, que se deslocaram ainda na noite de ontem até os principais pontos de alagamento na cidade. Os principais locais atingidos foram as zonas ribeirinhas da Av. Major Carlos Pinto, Dom Bosquinho, Navegantes, Henrique Pancada, São Miguel e Lar Gaúcho. Até o momento uma pessoa precisou ser removida pelas equipes.

Outros pontos que também estão sofrendo alagamento são as ruas Padre Feijó e República, na Cidade Nova. As regiões da Mangueira, Santa Tereza e Barra também estão sendo monitoradas por uma equipe da força-tarefa.

“Agora o nível da Laguna está a 1m. Ontem esteve a 1,20m e no meio da manhã de hoje (12) já esteve a 90 cm. Tudo depende na direção dos ventos, que neste momento está a sudoeste e com velocidade de 14km. Nossa maior preocupação são os ventos sul, porque estes represam as águas aqui em Rio Grande. Mas estamos monitorando permanentemente a situação. As pessoas que precisarem de auxílio devem entrar em contato com a Defesa Civil”, disse o secretário-executivo do órgão Anderson Montiel.

O coordenador municipal da Defesa Civil, o vice-prefeito Renato Gomes, informou que um abrigo já está disponível com a infraestrutura necessária para realocar pessoas, caso haja a necessidade. “Ontem a noite iniciamos todo o trabalho de prevenção. As Secretarias da Saúde, do Meio Ambiente, de Infraestrutura, de Serviços Urbanos, de Cidade e Assistência Social, da Pesca, de Mobilidade Urbana e a Defesa Civil prontamente colocaram suas equipes na ruas para atender a comunidade e minimizar os danos causados pelos alagamentos. Uma equipe também se deslocou para a Ilha da Torotama ainda na madrugada para prestar auxílio às famílias. Um abrigo já está montado na cidade para atender eventuais desabrigados”, declarou Renato Gomes.

Os números da Defesa Civil para chamados de emergência são: (53) 99135-6312/ 3233-7283/ 3233-8400/ 3233-8460

Acessoria PMRG
Foto: Rua no Bairro Navegantes na madrugada desta segunda-feira (12).

Mais duas fotos da hidroviária de São José do Norte e da Rua Francisco Pastore em RG.",governanca,0
5538,"Traficantes presos no Buchholz na tarde desta Sexta Feira....

Guarnição da Polícia Comunitária Núcleo 3, Bairros Junção, Rural e Buchholz, recebeu uma denúncia que próximo a Escola Santana, haviam dois indivíduos vendendo drogas. Ao chegar ao local, a guarnição abordou dois indivíduos, em revista pessoal encontrou nas partes Íntimas de M.B.R de 18 anos um revólver calibre 32 marca taurus com duas munições intactas, e com S.C.P de 17 anos foi encontrado 3 tijolinhos de maconha e 16 reias e trocados. Ambos foram conduzidos ao Hps, posteriormente ao Dppa onde o Maior foi autuado porte ilegal de arma de fogo e tráfico de drogas, ja o menor foi aprendido por tráfico de drogas.

Fonte e Fotos  : Brigada Militar",seguranca,0
5567,"São José do Norte
Ocorrências últimas horas!

Tentativa de homicídio...
Homem de 31 anos tenta matar sua esposa de 39 anos  a sufocando com um pano enquanto ela dormia .A vitima acordou e conseguiu fugir .A policia foi chamada mas, o homem tinha fugido.A vitima pediu mediadas protetivas a policia .

Moto roubada no Norte...
Uma Moto CG /Titan 125 fan de cor Cinza com placa IOQ 3598....foi roubada na noite desta segunda feira no Norte .Se a virem liguem 190 anonimamente.

Acidente ...
Na tarde desta Segunda Feira ocorreu uma colisão entre um carro/carro na rua Edgardo Pereira velho,houve discussão entre os motoristas.Felizmente apenas danos materiais .

Assalto...
Homens armados assaltaram um estabelecimento comercial na localidade do cucuruto no Norte.A policia investiga o caso.

Reportagem : Altemir Lima",seguranca,-1
5579,"TRABALHADOR FOI ATROPELADO HOJE EM RIO GRANDE 

Segundo informações preliminares, um funcionário de uma empresa prestadora de limpeza urbana foi atropelado enquanto trabalhava na manhã deste sábado na rua professor Alberto de Sá ns Vila Maria. A vítima foi socorrida e encaminhada a Santa Casa de Rio Grande com diversos ferimento, felizmente passa bem. Mais informações a qualquer momento na página. 

Reportagem : Claudio Noronha",mobilidade,-1
5598,"Tentativa de homicídio dentro de um ônibus na manhã desta Quinta Feira....

Por volta das 6:15 hs da manhã desta Quinta Feira ,um casal embarcou em um coletivo da noiva do mar da linha Querência ,durante o trajeto segundo a esposa do acusado de 66 anos ,um homem de 35 anos teria metido a mão com ela. O seu marido não gostou agrediu , puxou uma faca da cintura e tentou esfaquear o tarado dentro do coletivo.Ambos foram contidos por populares e o motorista encostou o coletivo no posto policial do Cassino e todos foram encaminhados a Dppa para averiguação.

Reportagem : Claudio Noronha",seguranca,0
5609,"Homem  armado preso na noite  desta Terça  Feira na Cohab I....

Viatura da Brigada Militar em abordagem de rotina na noite desta Terça Feira na rua Gonçalves Dias na Cohab I ,na noite desta Terça Feira a um homem que foi revistado e na sua cintura foi encontrado um revolver Rossi calibre 38 .O acusado foi preso e  encaminhado a Dppa ,o delegado estipulou fiança que foi pago e o acusado liberado .

Reportagem : Dener Santos",seguranca,1
5617,"GREVE NO BRASIL

Greve geral: veja o que não vai funcionar nesta Terça feira  23/05/2017
Dezenas de categorias profissionais aderiram à paralisação em vários Estados do Brasil
Movimento deve afetar atividades de transporte, educação, aeroportos e comércio      Atenção;.              BRASIL VAI PARAR DIA 23/05/2017 convocamos a todos os brasileiros. Para sairmos as ruas e pedir DIRETAS JÁ. (MOVIMENTO BRÁSIL LIMPO DA CORRUPÇÃO. )            Em casa ou nas ruas, greve geral envolverá 35 milhões de pessoas, dizem organizadores

Ruas, avenidas e estações praticamente estarão vazias ao longo do dia 23/05/2017 nas principais cidades brasileiras demonstram que a população aderiu ao movimento. E uma multidão dará o  recado ao governo Temer .  pedir DIRETAS JÁ. VAMOS COMPARTILHAR!",meioAmbiente,0
5625,"Acidentes não param ..Imprudência mata trabalhador na tarde deste sábado em Rio Grande....

Por volta das 16:50 hs  deste  sábado (20), infelizmente  houve   um acidente com morte enquanto trabalhava , em  Rio Grande, no km 22,8 da  BR-392, envolvendo um caminhão Scania  de São Francisco de Assis/RS que  perdeu o controle do veículo e atropelou o trabalhador , resultando  no óbito instantâneo do  homem de  45 anos,a carreta só parou depois que saiu da pista . A vitima é natural do estado do Maranhão.Segundo informações,  seria  um funcionário de uma firma que executava obras de pintura na rodovia.Mais informações a qualquer momento na pagina .

Reportagem : Claudio Noronha",mobilidade,-1
5643,"Registrado o 28°  homicídio do ano em Rio Grande nesta Quinta Feira....

Na manhã desta Quinta Feira por volta das 8:00 hs ,foi encontrado um jovem baleado com um tiro na lateral da cabeça em uma obra na rua Visconde do Rio Branco ,próximo a Avenida Argentina.A vitima foi socorrida pela Samu em estado gravíssimo e encaminhada a santa casa ,infelizmente o jovem de inicias D.P acabou falecendo na tarde desta Quinta Feira.A policia investiga o caso.

Reportagem  : Dener Santos",seguranca,-1
5644,"Alerta de chuva e fortes ventos nas próximas horas na nossa região....

INMET e Clima Tempo publica aviso iniciando em: 19/05/2017 00:00. Quebra de vidros, estragos consideráveis, risco de queda de galhos de árvores, alagamentos, incidência de descargas elétricas e granizo. Ventos entre 17 e 27 m/s (61 e 99 Km/h), chuvas Intensas entre 30 e 60 mm/h ou entre 50 a 100 mm/dia e granizo.Na sexta-feira (19),  há alerta de tempo severo (chuva forte e volumosa, raios e ventania) para o Sul do país.No decorrer desta quinta-feira, o mar começa a ficar agitado novamente no litoral da Região Sul do Brasil. Altura das ondas aumenta até a noite alcançando picos de 2,5m a 3,0m no litoral do Rio Grande do Sul. 

Em caso de Temporal confira as ações recomendadas:

* Abrigue-se da chuva torrencial que poderá estar acompanhada de granizo e causar inundações. 
* Não se abrigue debaixo de árvores, nem em frágeis coberturas metálicas, pois há riscos de quedas. 
* Desligue aparelhos elétricos, quadro geral de energia e o gás. 
* Coloque documentos e objetos de valor em sacos plásticos bem fechados e em local protegido. 
* Revise a resistência da sua casa, principalmente o madeiramento de apoio do telhado. 
* Não estacione veículos próximos a torres de transmissão e placas de propaganda (risco de queda pelo vento). 
* Obtenha mais informações junto à Defesa Civil (telefone 199) e ao Corpo de Bombeiros (telefone 193).

Fonte : INMET /Clima Tempo",meioAmbiente,1
5655,"Duas tentativas de homicídio registradas na noite desta Segunda Feira em Rio Grande....

*Tentativa de homicídio no Bgv..
Jovem de 15 anos de iniciais E.C ,que  foi alvejado com um tiro na noite desta Segunda Feira por volta das 22:00 hs no Bgv Foi socorrido e encaminhado a santa casa de Rio Grande onde se encontra hospitalizado.

* Tentativa de homicídio no centro...

Um morador de rua de 37 anos ,dormia na rua Duque de Caxias no centro  por volta das 23:40 hs desta segunda feira quando começou a ser agredido com chutes por meliantes que depois da agressão fugiram.A vitima foi socorrida e encaminhada a santa casa com diversas fraturas.

A policia investiga os casos.

Reportagem : Claudio Noronha",seguranca,-1
5678,"Motociclista assaltado na noite desta Quarta Feira na São Miguel.....

Um motociclista trafegava na noite desta Quarta Feira por volta das 21:00 hs na rua Eduardo Araújo no bairro São Miguel ,quando uma moto preta com dois meliantes armados o renderam anunciando o assalto .Roubaram o celular , a quantia de R$ 500,00 da vitima e fugiram em direção ao bairro São João. A policia investiga o caso.

Reportagem : Dener Santos",seguranca,-1
5681,"São José do Norte

......Ocorrências das últimas horas....

Tentativa de homicídio....
Dois  meliantes armados  mascarados assaltaram  uma padaria  na noite desta Quarta Feira por volta das 19:00 hs na rua Agostinho Barcelos no Norte,depois de pegar o dinheiro disparou no rosto contra o comerciante e fugiu.A vitima foi alvejada de raspão ,foi socorrido e encaminhado a santa casa de Rio Grande onde se encontra hospitalizado.

Abigeato....
Na localidade do Parobé registrado mais um furto/abigeato  ,foram furtados três vacas e um terneiro.

Acidente....
Um ciclista foi atropelado por um caminhão de lixo próximo a posto de gasolina na tarde desta Quarta Feira no Norte,felizmente a vitima conseguiu pular antes da colisão e teve apenas ferimentos leves.A bicicleta ficou destruída.

Maria da Penha....
Mulher depois de ser agredida várias vezes pelo ex marido,cansada das agressões pede medidas protetivas a policia .

Furto em loja....
Mulher furta um urso de pelúcia e alguns chocolates na tarde desta Quarta Feira no centro do Norte e foge correndo.

Reportagem : Altemir Lima",seguranca,-1
5682,"Crimes:
               Mulher presa em flagrante com drogas na vagina na Perg...

Uma mulher em revista pessoal na tarde desta Quarta Feira na Perg ,foi encontrada 90 gramas de maconha escondida em sua vagina.A mulher faria visita intima ao seu companheiro detido na penitenciária .A detida foi encaminhada a Dppa ,corpo de delito e posteriormente a penitenciária .

Reportagem : Claudio Noronha",seguranca,1
5698,"Residência invadida e saqueada com moradora dentro nesta Segunda Feira em Rio Grande.....

Uma moradora da Rua Visconde do Rio Branco no bairro Lagoa  ,na noite desta Segunda Feira por volta das 19:45 hs estava com a porta aberta ,quando dois meliantes pediram água para a proprietária no seu portão ,quando a vitima virou de costas invadiram a residência colocando um revólver na sua nuca  , roubaram vários objetos e fugiram na motocicleta da vitima uma Honda CG 125cc de cor Azul ,a placa ainda não foi divulgada.A policia investiga o caso.

Reportagem : Dener Santos",seguranca,-1
5751,"SEQUESTRO RELÂMPAGO E TROCA DE TIROS NESTA MADRUGADA EM RIO GRANDE 

Sequestro relâmpago nesta madrugada, casal sofreu sequestro relâmpago no bairro cidade Nova. Suspeitos trocaram tiros com a polícia Civil, o motorista acabou alvejado na perna direita, perdeu controle e bateu o carro. Dois acabaram presos pela polícia Civil.  Com as informações Dener Santos.",seguranca,1
5812,"Incêndio criminoso assusta moradores na noite deste Sábado no Buchholz....

Vândalos atearam fogo em uma lixeira cheia de entulhos na noite deste Sábado por volta das 19:00 hs na Avenida Uruguai com cachoeira do Iguaçu no bairro Buchholz assusstando moradores .As chamas foram altas e se não fosse o rápido atendimento dos bombeiros as chamas poderiam ter pego nos fios e a uma residência.

Fonte : Brigada Militar",seguranca,-1
5813,"Arrombadores presos em flagrante na Quêrencia . ....

Na manhã de sexta Feira por volta das  09:30 hs ,no Bairro Querência no Cassino , Policiais Comunitários do Núcleo 10 prenderam em flagrante dois indivíduos que estavam cometendo o crime de furto qualificado em residências,(arrombamentos). Foram encaminhados ao posto de saúde do Cassino e posterior a Dppa e finalmente a Perg.

Fonte e Fotos : Brigada Militar",seguranca,1
5836,"Taxista assaltado e teve carro roubado na madrugada desta Segunda Feira....

Casal sai de boate na Buarque de Macedo ,embarca em táxi e pede para ir até o bairro são joão por volta das 2:50 hs desta Segunda Feira .Chegando próximo aos apartamentos da São João ,homem coloca uma arma no pescoço do taxista ,rouba o celular e dinheiro.Pede para o taxista ficar calmo ,manda ele descer e assume a direção.Antes de fugir no veículo ,disse para a vitima que iria abandonar o táxi a algumas quadras.Minutos depois a vitima encontrou o seu veículo abandonado,com a chave na ignição e de porta aberta.A policia investiga o caso.

Reportagem : Dener Santos",seguranca,-1
5845,"Loja arrombada e saqueada na madrugada desta Quinta Feira....

Uma loja foi arrombada na madrugada desta Quinta feira no centro da cidade na Marechal Floriano.A loja não possui alarme e as câmeras foram destruídas e saqueadas.Os ladrões entraram por um poço de cabos de luz subterrâneo onde entraram e saíram no banheiro da loja.Roubaram diversos objetos entre eles várias jóias de ouro  ,anéis ,bombas ,óculos ,relógios ,correntes de ouro e prata..o prejuízo do proprietário  foi grande.A policia investiga o caso.

Fonte : Brigada Militar",seguranca,-1
5858,"Furto de carga na madrugada desta Quarta Feira ...

Um motorista de uma carreta registra ocorrência de furto de carga.O motorista disse que abriram o tombador de sua carreta e ao sair de posto de gasolina ,parte da carga ficou espalhada na estrada.Alerta que é um novo golpe dos ladrões .A vitima disse que a carga de soja está avaliada em R$32 mil Reais ,e fará a pesagem atual para avaliar o prejuízo e repassar para a empresa .A policia investiga o caso.

Reportagem : Dener Santos
Texto:Fabiano Correa",seguranca,-1
5897,"HOMEM ASSALTA CLIENTES EM LANCHERIA E SEQUESTRA MOTOBOY NA FUGA EM RIO GRANDE 

Duas vitimas aguardavam seu lanche sentados no interior de uma lancheria na Buarque de Macedo por volta das 22:30 hs, quando um homem armado com uma faca por uma janela assaltou as vitimas levando um celular e uma carteira com dinheiro e documentos. Um policial a paisana perseguiu o assaltante mas, o mesmo sequestrou um motoboy que estava passando na hora e fugiu. O motoboy disse a policia que o homem subiu na moto e calçou o mesmo com uma faca nas costas dizendo que iria mata-lo. Fez ele ir até o bairro D.Bosquinho onde ainda roubou seu dinheiro e sumiu no escuro. A policia investiga o caso.",seguranca,-1
5912,"Na virada do dia 21 para o dia 22 de março, aproximadamente às 00:30hs, na rua Quarai, bairro Laranjal em Pelotas um guarda municipal que estava em apoio as guarnições da Brigada Militar para captura de um dos envolvidos no roubo do Shopping de Pelotas, avistou uma casa abandonada e notou que havia movimentação.",seguranca,0
5993,"Você sabia?",tecnologiaInovacao,1
6025,"Utilidade pública!",seguranca,-1
6040,"A ECOSERVICE, empresa júnior de consultoria ambiental e oceanologia da FURG em parceria com o grupo Oceano à Vista, vem fazer o convite aos cidadãos rio grandinos, juntamente dos calouros de Oceanologia 2017 da FURG, ao ""Limpa Oceano"", um trote solidário com o objetivo de amenizar os impactos do veraneio na praia. Cabe salientar que a atividade terá a duração das 14:00 às 17:00 horas e ocorrerá no dia 25 de março de 2017, tendo como ponto de encontro a estátua de Iemanjá.",meioAmbiente,0
6106,https://m.facebook.com/story.php?story_fbid=363079630698342&id=272427343096905,economia,0
6164,"A carta - Mario Quintana, por Fábio Fogo",educacao,0
6224,"***** Consórcio Embracon******
 Faça sua simulação e realize seu sonho sem pagar juros!!!
        

www.simuladorembracon.com.br/maristela.ferreira

ou ligue agora e agende sua visita!!!
17 996583003
18 996345460   whats app
017 981773003 whats app 
R$ 150.000,00
entr: 3.353,33
149x 1.353,33

23/01/2016",economia,0
6410,"Precisa de dinheiro e não tem como trabalhar fora de casa trabalhe conosco. ",empreendedorismo,0
6650,"Regras do Grupo

1° - Proibido Pornografia / Chingamento / Desrespeito 
2° - Proibido Divulgar outros grupos
3° - Proibido Venda/Trafico de armas/drogas
4° - Ler todas as 3 primeiras regras
5° - Se divertir",governanca,1
6651,"Seu sonho é comprar uma casa, um carro, uma moto ? 
Comece agora planejar seu sonho. A grande vantagem é que pode ser adquirido com pequenas parcelas e livres de juros.
Faça uma simulação: http://goo.gl/Yynbn3
Maiores informações: (18)99634-5460 WhatsAPP",economia,0
7160,"CONVITE PARA DEFESAS DE DISSERTAÇÃO
(vale muito a pena participar de um evento como esses)

Título: UMA ARQUITETURA PERSUASIVA BASEADA EM SISTEMAS CIBER-FÍSICOS
Autor: Jonas Casarin
Orientador: Prof. Silvia Botelho
Data: 11/04/2016
Hora: 15h
Banca examinadora: 
Prof. Dr. Jose Barata Oliveira (Universidade Nova de Lisboa)
Prof. Dra. Diana Francisca Adamatti (Universidade Federal do Rio Grande)

Título: Descrição e detecção de regiões subaquáticas parcialmente estruturadas em imagens acústicas adquiridas por um imageamento frontal
Autor: Matheus Machado
Orientador: Prof. Silvia Botelho
Co-orientador: Prof. Paulo Drews
Data: 11/04/2016
Hora: 10h
Local: Auditório C3 - FURG
Banca:  
Fernando Santos Osório (USP-SC), 
Thiago Souza (USP/POLI)
Catia Maria dos Santos Machado (FURG)
Ricardo Nagel Rodrigues (FURG) .",educacao,1
7167,"Apresentação de Trabalho de Conclusão de Curso 
Engenharia de Computação - Universidade Federal do Rio Grande
Centro de Ciências Computacionais - C3 / FURG

Título: Registro de Imagens Médicas para Implantodontia utilizando ICP com K-D Tree
Estudante: Matheus Korb

Data: 18/12/2015
Horário: 14h00min
Local: Lab. de Software - C3

Banca Examinadora: 
Prof. Alessandro de L. Bicho C3/Furg (Orientador) 
Prof. Mario Rocha Retamoso (IMEF/Furg) 
Profa. Gisele Moraes Simas (C3/Furg)",educacao,1
18219,"Hoje a Kombinha estará no evento Arte em Trânsito, realizado no antigo terminal de ônibus da Praia do Cassino! Arte, Cultura Patrimônio e Memória em um só lugar apartir das 13h! #praiadocassino #itinerante",educacao,1
18288,"?? Dia de conferir a programação do Cine Dunas! Saiba quais filmes entram em cartaz a partir de hoje no tradicional cinema de calçada da Praia do Cassino: 
www.praiadocassino.com/o-que-fazer #praiadocassino",educacao,1
18326,"? ?? Que tal dar uma voltinha nas tradicionais vagonetas dos Molhes da Barra de Rio Grande? Quem já foi certamente não esquece. Saiba mais sobre o Cassino e este belo passeio: http://goo.gl/f8zERQ #praiadocassino",educacao,1
18391,"O Ponto de Cultura ArtEstação recebe hoje a noite o projeto Miradas Enredadas 2015, uma exposição coletiva com trabalhos de arte-educadores de diferentes países. Confere os detalhes lá no site: http://goo.gl/a4reAB #praiadocassino",educacao,1
18409,"Bom dia! Programação de cinema na Praia do Cassino atualizada. Diversão garantida para a criançada neste final de semana: http://www.praiadocassino.com/o-que-fazer #praiadocassino",educacao,1
18443,"Bom dia! Confere lá no site o que está em cartaz no Cine Dunas e programe-se para o feriado ??: http://www.praiadocassino.com/o-que-fazer",educacao,0
18516,"A Praia do Cassino amanhã está de aniversário, comemorando 125 anos de existência. Para celebrar esta data, durante toda a semana faremos posts especiais com informações e curiosidades sobre esta grande praia! Não deixe de acompanhar. ;) #praiadocassino",educacao,1
18524,"Já sabe onde ficar na Praia do Cassino neste verão? Encontre hotéis, pousadas e campings, aqui: 
www.praiadocassino.com/onde-ficar
#praiadocassino",economia,0
18542,"Com o calorzinho chegando, é hora de pensar em sua estadia na Praia do Cassino! Encontre hotéis, pousadas e campings, aqui: www.praiadocassino.com/onde-ficar #praiadocassino",empreendedorismo,1
18543,"O Ponto de Cultura ArtEstação recebe hoje à noite o projeto Miradas Enredadas 2014, uma exposição coletiva com trabalhos de arte-educadores de 10 países. Confere os detalhes lá no site: http://praiadocassino.com/o-que-fazer/miradas-enredadas #praiadocassino",educacao,1
18580,"Hoje estréia no Cine Dunas O Espetacular Homem-Aranha 2 - A Ameaça de Electro, com Jamie Foxx. Verifique os horários dos filmes que estão em cartaz na Praia do Cassino: www.praiadocassino.com #praiadocassino",educacao,0
54470,"As lições de Paulo Freire sempre tão atuais e necessárias, né?! ?? 

Na semana passada, sediamos o ""19º Fórum de Estudos: Leituras de Paulo Freire"" que, com o tema “Reinventando Paulo Freire na atualidade: pedagogias na luta contra as opressões"",  debateu a contribuição e a atualidade do pensamento do educador brasileiro. 

?? Veja como foi o evento: https://goo.gl/HYkzFR.",educacao,1
54515,"Mais uma oportunidade de estágio :D??
Os candidatos devem atender aos seguintes requisitos: ser estudante regular de curso da Universidade, com disponibilidade de horário noturno; ter cursado as disciplinas obrigatórias para concessão de estágio; possuir conhecimento básico em informática; possuir habilidades relativas ao atendimento ao público e não ter realizado outro estágio de dois anos na FURG.

Ficou interessado? Acesse o link e confira o edital :)",educacao,1
54519,"Os interessados poderão apresentar as propostas até 19 de abril. 
Neste edital, são disponibilizadas até oito vagas para a etapa de pré-incubação.Saiba mais ??",empreendedorismo,1
54545,"Os interessados devem comparecer na sala 2 do Centro de Educação Ambiental, Ciências e Matemática (Ceamecim). Para realizar a inscrição é preciso identidade e comprovante de residência. Saiba mais ??",educacao,0
54595,"Hoje, a partir das 10h, serão realizadas as matrículas dos candidatos convocados na Lista de Espera. 

Já tem gente por aqui :D

E pra quem ainda não sabe, os candidatos que vierem realizar a matrícula terão um espaço no saguão do Cidec-Sul para tirar sua selfie e dizer com orgulho #agorasouFURG. É só postar sua foto nas redes sociais usando a hashtag #agorasouFURG e sua foto aparecerá nos perfis oficiais da Universidade. :D ?",educacao,1
54614,"Tem interesse em aprender noções básicas de informática?

O SiB está com inscrições abertas para novas turmas de terceira idade e público em geral! ????",educacao,1
54642,"Atenção! ?
O expediente de verão será no período de 5 de janeiro a 3 de fevereiro. O turno ocorrerá das 8h às 12h.",governanca,0
54656,"Atençao! ?             
O período para renovação de benefícios foi prorrogado. 
Até 2 de janeiro, os estudantes já beneficiados pelo Subprograma de Assistência Básica em 2016 podem solicitar a renovação. Saiba mais ??",governanca,1
54706,"? FURG suspende atividades hoje, a partir das 15h. ??

Após contato da Reitoria com a Defesa Civil de Rio Grande, em virtude dos fortes ventos ocasionados pelo ciclone extratropical, a Universidade orienta pela suspensão das atividades acadêmicas e administrativas a partir das 15h deste dia 27 de outubro de 2016.",meioAmbiente,0
54728,"Tudo pronto pra apresentação na 15ª MPU? ??
A gente dá uma ajudinha pra você não se perder nos horários e locais de realização do evento ?? goo.gl/BkylJK
Precisa conferir a sala e dia da apresentação? ?? goo.gl/1qsrsW
Vai aproveitar e fazer alguma das mais de 100 oficinas? A lista completa você confere aqui ?? goo.gl/kNi5q8 #mpuFURG2016",educacao,1
54736,"Saiu o resultado dos selecionados para o Mestrado Profissional em Administração Pública. 
Clica aqui e confere se o seu nome está na lista de aprovados! ??",educacao,0
54746,"O Núcleo de Estudos e Ações Inclusivas (Neai) e o Laboratório de Acessibilidade e Mobilidade Urbana (Lamu) participaram do 4º Seminário de Inclusão no Ensino Superior (Sines). Foram apresentados trabalhos relacionados às áreas de inclusão e acessibilidade de pessoas com deficiência. ??????",educacao,1
54779,"?? Começaram as inscrições para as oficinas da 15ª MPU!

Elas são gratuitas e não é necessário estar inscrito na MPU para participar. Se liga, o período acaba 30 de setembro! ?? http://goo.gl/pCGlE0",educacao,1
